season,round,driverId,circuitId,pitted_under_sc,beta,ci_lower,ci_upper,cluster_label,below_median_elasticity
2020,16,aitken,bahrain,0.0,0.6543,0.5833,0.7252,Balanced / Standard Racing,0
2005,1,albers,albert_park,,0.4977,0.4139,0.5815,Large Field Spread / Strategy-Dependent,1
2005,2,albers,sepang,,0.514,0.4196,0.6084,High-Overtaking / Fluid Strategy,1
2005,3,albers,bahrain,,0.6543,0.5833,0.7252,Balanced / Standard Racing,0
2005,4,albers,imola,,0.5779,0.4487,0.7072,High-Overtaking / Fluid Strategy,1
2005,5,albers,catalunya,,0.6716,0.6034,0.7399,Balanced / Standard Racing,0
2005,6,albers,monaco,,0.6074,0.5316,0.6831,Large Field Spread / Strategy-Dependent,0
2005,7,albers,nurburgring,,0.5076,0.3836,0.6315,,1
2005,8,albers,villeneuve,,0.5347,0.4513,0.618,Large Field Spread / Strategy-Dependent,1
2005,9,albers,indianapolis,,0.3208,0.1348,0.5068,,1
2005,10,albers,magny_cours,,0.7493,0.6306,0.868,,0
2005,11,albers,silverstone,,0.6624,0.5949,0.7299,Balanced / Standard Racing,0
2005,12,albers,hockenheimring,,0.5423,0.4336,0.651,High-Overtaking / Fluid Strategy,1
2005,13,albers,hungaroring,,0.6366,0.5651,0.7081,Large Field Spread / Strategy-Dependent,0
2005,14,albers,istanbul,,0.7134,0.612,0.8148,,0
2005,15,albers,monza,,0.6271,0.5556,0.6986,Balanced / Standard Racing,0
2005,16,albers,spa,,0.502,0.418,0.5861,Large Field Spread / Strategy-Dependent,1
2005,17,albers,interlagos,,0.5643,0.486,0.6426,Large Field Spread / Strategy-Dependent,1
2005,18,albers,suzuka,,0.6287,0.5497,0.7076,Balanced / Standard Racing,0
2005,19,albers,shanghai,,0.6791,0.6025,0.7556,Balanced / Standard Racing,0
2006,1,albers,bahrain,,0.6543,0.5833,0.7252,Balanced / Standard Racing,0
2006,2,albers,sepang,,0.514,0.4196,0.6084,High-Overtaking / Fluid Strategy,1
2006,3,albers,albert_park,,0.4977,0.4139,0.5815,Large Field Spread / Strategy-Dependent,1
2006,4,albers,imola,,0.5779,0.4487,0.7072,High-Overtaking / Fluid Strategy,1
2006,5,albers,nurburgring,,0.5076,0.3836,0.6315,,1
2006,6,albers,catalunya,,0.6716,0.6034,0.7399,Balanced / Standard Racing,0
2006,7,albers,monaco,,0.6074,0.5316,0.6831,Large Field Spread / Strategy-Dependent,0
2006,8,albers,silverstone,,0.6624,0.5949,0.7299,Balanced / Standard Racing,0
2006,9,albers,villeneuve,,0.5347,0.4513,0.618,Large Field Spread / Strategy-Dependent,1
2006,10,albers,indianapolis,,0.3208,0.1348,0.5068,,1
2006,11,albers,magny_cours,,0.7493,0.6306,0.868,,0
2006,12,albers,hockenheimring,,0.5423,0.4336,0.651,High-Overtaking / Fluid Strategy,1
2006,13,albers,hungaroring,,0.6366,0.5651,0.7081,Large Field Spread / Strategy-Dependent,0
